X,Y,WARD,PARCEL,PID_LONG,WPD,BATCH,SHAPE_area,SHAPE_len,Project_ID,Perm_type,Have_it,Year_TAPA,PID,Permit_ID,Proj_nam,MAL,MAL2,MAL3,MAL4,MAL5,MAL6,MAL7,Lot_Type,Add_Space,Ex__Spaces,Perm_space,Gen_Park,Rest_Park,Land_Use,_land_sqft,bldg_Sqft,Units,ManCo,ManAd,ManCon,DevName,DevName2,DevAddy,DevAddy2,Par_own,Own_Addy,Cost_Hour,Cost_day,Cost_mon,Op_hours,Op_days,Lease_Own,Park_type,Lev_grade,Entry,An_report,APCC_perm,Space_coun,Paper_rec,E_file,APCC_Notes,Issue_date,Mod_date,Mod_date2,Mod_date3,2010_Freez,2010_Exem,2010_Excl,2010_Tot,Comments,User_Group,Ut_rates,Use_Notes,Mon_Pass,Agreements,Valet,1977_PuL,1977_PuG,1977_PriL,1977_PriG,BAPCC_PuL,BAPCC_PuG,BAPCC_PrL,BAPCC_PrG,1991_PuL,1991_PuG,1991_PrL,1991_PrG,Elec_Veh,Car_van,C_V_Desc,Ped_Path,Incentives,Outlets,Out_Dets,bike_space,Bike_Short,Bike_long,Low_Em,MASS_Ride,Match,Joint,Guarantee,Sub_T_Pass,Sub_Desc,TMA,CommuteWor,Moto_Scoot,T_Pass_Sal,Trans_Coor,Ped_Prog,Shut_bus,Cash_out,prom_mats,Show_facs,Unb_Park,Car_share,Car_share2,Notes,Fenway,Perm_Summ,OBJECTID,_Freez,_Exem,_Excl,_Tot,_PuL,_PuG,_PriL,_PriG,_PuL_1,_PuG_1,_PrL,_PrG,No_2010_AP,Shape_Leng,y_n_bike,TOT_Space,Note,Proj_nam_1,TYPE,LOC_ID,Proj_nam_2,PARCEL_1,PID_LONG_1,WPD_1,PID_1,TOTAL_COM_,20171127_Respondent (First+ Last),20171127_Gensler Revised Parking Spots,20171127_Parking Typology (use dropdown)
-71.065590260516771,42.350801030474059,5,75-20,0500075020,05-01-035,0,24536.44587680000,700.10139395400,00273,"TAPA, APCC",,,0500075020,,W Boston Hotel,100 Stuart St,,,,,,,garage,,142,142,0.000000,142.000000,Hotel,"26,141","350,580",390 rooms (hotel),,,,,,,,,,,,,,,,valet,"2 level, below grade",,,,,,,,,,,,,32,110,142,,,,,,,,180,,,,,95,,26,97,,,,,,0.000000,Y,,,,70.000000,8,62,,,,Y,Y,Y,50%,Y - A Better City,,,Y,Y - hotel operator,,,,Y,,,,0.000000,public spaces eliminated,,1,0,,,,,,,,,,,,,,0.00000000000,Y,142.00000000000,,W Boston Hotel,Mixed,A00273,W Boston Hotel,75-20,0500075020,05-01-035,0500075020,129.000000,Kevin Kusina,142,Below Grade (building on top)
-71.057626954274198,42.363938101969026,3,2528-3,0302528003,03-04-015,0,32.74511880560,49.41110966890,00063,APCC,,,0302528003,53,ENDICOTT @ STILLMAN LOT,0 Stillman St,,,,,,,,,0,18,0.000000,18.000000,,,,,,,,,,,,,,,,,,,,,,,,53,,,,n/a,n/a,,,,,,,0,,,,,,,,0,0,10,0,0,0,10,0,0,0,18,0,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,18.00000000000,,ENDICOTT @ STILLMAN LOT,Exempt,A00063,ENDICOTT @ STILLMAN LOT,2528-3,0302528003,03-04-015,0302528003,18.000000,Kevin Kusina,18,Surface Parking
-71.062668428929726,42.364009373295254,3,1685,0301685000,03-06-025,0,874.30145670200,124.22414348200,00048,APCC,,,0301685000,22,VIP PARKING LOT,22 Lancaster St,0 Merrimac St,123-125 Merrimac St,,,,,,,0,35,35.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,22,,Y,,n/a,n/a,,,,,,,0,,,,,,,,26,0,0,0,26,0,0,0,35,0,0,0,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,35.00000000000,,VIP PARKING LOT,Commercial,A00048,VIP PARKING LOT,1685,0301685000,03-06-025,0301685000,35.000000,Kevin Kusina,35,Surface Parking
-71.05272796029098,42.363208533494436,3,3474,0303474000,03-01-110,0,12318.36416930000,521.61850057500,00102,APCC,,,0303474000,,RICHMOND ST LOT,120 Fulton St,,,,,,,,,31,31,0.000000,31.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,25,,,,31,,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,2,0,,,,,,,,,,,,,,0.00000000000,,31.00000000000,,RICHMOND ST LOT,Exempt,A00102,RICHMOND ST LOT,3474,0303474000,03-01-110,0303474000,31.000000,Kevin Kusina,31,Below Grade (building on top)
-71.051463870703401,42.363417416769501,3,3515,0303515000,03-01-105,0,3939.53146411000,269.74957617900,00104,APCC,,,0303515000,83,NICHOLAS DAMORE,210-218 Commercial St,227 Commercial St,,,,,,,,15,15,0.000000,15.000000,,,,,,,,,,,,,,,,,,,,,,,,83,,,,n/a,n/a,,,,0,15,,15,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,15.00000000000,,NICHOLAS DAMORE,Exempt,A00104,NICHOLAS DAMORE,3515,0303515000,03-01-105,0303515000,15.000000,Kevin Kusina,15,Below Grade (building on top)
-71.065684669496875,42.35518518136827,5,812,0500812000,05-03-075,0,1985784.10605000006,6967.86714887000,00292,APCC,,,0500812000,233,BOSTON COMMON GARAGE,0 CHARLES ST,,,,,,,,,1500,1500,1500.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,233,,Y,,n/a,n/a,,,,1500,0,0,1500,,,,,,,,0,1500,0,0,0,1500,0,0,0,1548,0,0,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,1500.00000000000,,BOSTON COMMON GARAGE,Commercial,A00292,BOSTON COMMON GARAGE,812,0500812000,05-03-075,0500812000,1500.000000,Kevin Kusina,1500,Below grade (no structure on top)
-71.062704147941957,42.362711925220054,3,1686,0301686000,03-06-055,0,372054.54239100002,2731.02559567000,00049,APCC,,,0301686000,60,HURLEY BUILDING,19 Staniford St,,,,,,,,,0,195,0.000000,195.000000,,,,,,,,,,,,,,,,,,,,,,,,60,,,,n/a,n/a,,,,,,,0,,,,,,,,0,0,0,180,0,0,0,180,0,0,0,195,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,195.00000000000,,HURLEY BUILDING,Exempt,A00049,HURLEY BUILDING,1686,0301686000,03-06-055,0301686000,195.000000,Kevin Kusina,195,Surface Parking
-71.055244061253632,42.358608796424868,3,3860,0303860000,03-06-255,0,58152.19066460000,1271.29209352000,00114,APCC,Y,,0303860000,512,75 STATE ST GARAGE,75 State St,,,,,,,,,700,700,450.000000,250.000000,,,,,,,,"99 State Street Limited Partnership, c/o The Beacon Companies",,"One Post Office Square, Boston, MA 02109",,,,,,,,,,,,,,512,,Y,Y,n/a,8/16/1985,,,,450,250,,700,Public/private space distribution changed,General public,,,,,,,,,,0,827,0,0,0,400,0,0,,Y,0.000000,,,,,0.000000,,Yes,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,700.00000000000,,75 STATE ST GARAGE,Mixed,A00114,75 STATE ST GARAGE,3860,0303860000,03-06-255,0303860000,700.000000,Kevin Kusina,700,Below Grade (building on top)
-71.060025199685228,42.363970836932701,3,1619,0301619000,03-06-041,0,17999.07979060000,537.81859416500,00041,APCC,Y,,0301619000,15,181 - 189 FRIEND ST,181-189 Friend St,90 Canal St,,,,,,Open air,,16,16,0.000000,0.000000,,,,,,,,Gunwyn/Canal Street Limited Partnership c/o Sullivan & Worchester,,"One Post Office Square, Boston, MA 02109",,,,,,,,,,,,,,15,,Y,Y,n/a,5/19/1986,,,,0,16,,16,,employees,,,,,,,,,,0,0,16,0,,,,,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,16.00000000000,,181 - 189 FRIEND ST,Exempt,A00041,181 - 189 FRIEND ST,1619,0301619000,03-06-041,0301619000,16.000000,Kevin Kusina,16,Surface Parking
-71.062150596792577,42.361829015730095,3,2621,0302621000,03-06-097,0,15535.88051680000,495.26519710300,00066,"TAPA, APCC
",,,0302621000,,BOWDOIN SQUARE OFFICE BUILDING,1 Bowdoin Sq,15 New Chardon St,,,,,,,,25,25,25.000000,0.000000,,,,,,,,"One Bowdoin Square Limited Partnership, c/o Peter E. Madsen",,"47 Thorndike Street, Cambridge, MA 02141",,,,,,,,,,Self,,,,,,,,,,,,,0,25,,25,,,,,,,,,,,,,,,25,,,,,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,25.00000000000,,BOWDOIN SQUARE OFFICE BUILDING,Exempt,A00066,BOWDOIN SQUARE OFFICE BUILDING,2621,0302621000,03-06-097,0302621000,25.000000,Kevin Kusina,25,Below Grade (building on top)
-71.054181030576828,42.362396875328827,3,3435,0303435000,03-01-140,0,31539.19303120000,881.28821486600,00100,APCC,,,0303435000,49,133-147 NORTH ST,0 Cross St,,,,,,,,,0,20,0.000000,20.000000,,,,,,,,,,,,,,,,,,,,,,,,49,,,,n/a,n/a,,,,,,,0,,,,,,,,0,0,15,0,0,0,15,0,0,0,20,0,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,20.00000000000,,133-147 NORTH ST,Exempt,A00100,133-147 NORTH ST,3435,0303435000,03-01-140,0303435000,20.000000,Kevin Kusina,20,Surface Parking
-71.051352176434548,42.354199836847208,3,2956,0302956000,03-06-465,0,34857.75922030000,803.99138640700,00080,"TAPA, APCC
",,,0302956000,,470 Atlantic Ave (Independence Wharf),466-474 Atlantic Ave,,,,,,,,,119,119,0.000000,119.000000,"Office, commerical",,"350,000",,,,,"Independence Wharf Realty Trust, C/o Modern Continental",,"600 Memorial Drive, Cambridge, MA 02139",,,,,,,,,,valet,,Card access,,,,,,,,,,,0,119,,119,,,,,,,,,,,,0,1221,0,54,,,,,,,0.000000,Y - Harborwalk,,,,35.000000,Y - 10,Y - 25,,Y,,Y,Y,Developer Only,"for developer employees, will encourage tenants",Y - Artery Business Committee,,,Y,Y,,,,Y,Y,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,Y,119.00000000000,,470 Atlantic Ave (Independence Wharf),Exempt,A00080,470 Atlantic Ave (Independence Wharf),2956,0302956000,03-06-465,0302956000,119.000000,Kevin Kusina,119,Below Grade (building on top)
-71.060764289007338,42.363995967222912,3,1642,0301642000,03-06-035,0,1593.04824110000,161.42093127600,00045,APCC,,,0301642000,27,204 FRIEND ST LOT,0 Friend St,0 Anthony Rip Valenti Way,0 Friend St,,,,,,,0,12,0.000000,12.000000,,,,,,,,,,,,,,,,,,,,,,,,27,,,,n/a,n/a,,,,,,,0,,,,,,,,0,0,12,0,0,0,12,0,0,0,12,0,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,12.00000000000,,204 FRIEND ST LOT,Exempt,A00045,204 FRIEND ST LOT,1642,0301642000,03-06-035,0301642000,12.000000,Kevin Kusina,12,Surface Parking
-71.061779523616735,42.358754407843591,3,2803,0302803000,03-06-150,0,8516.24406090000,395.52194481400,00073,APCC,,,0302803000,65,SOMERSET LOT,10 Somerset St,,,,,,,,,0,42,42.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,65,,,,n/a,n/a,,,,,,,0,,,,,,,,40,0,0,0,40,0,0,0,42,0,0,0,,,0.000000,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,0.000000,,,1,0,,,,,,,,,,,,,,0.00000000000,,42.00000000000,,SOMERSET LOT,Commercial,A00073,SOMERSET LOT,2803,0302803000,03-06-150,0302803000,42.000000,Kevin Kusina,42,Below Grade (building on top)
